name
Первое озеро
Курортная улица
Тургоякская улица
Курортная улица
Алма-Атинский переулок
Медико-санитарная часть главного управления МВД России по Челябинской области
Южно-Уральский государственный медицинский университет
Пионерская улица
Администрация Сосновского кладбища
Новоградский проспект
Свердловский тракт
«Урал»
Свердловский тракт
Свердловский тракт
Свердловский тракт
Пост ДПС
Свердловский тракт
улица Богдана Хмельницкого
Комсомольский
INTAR
Пожарно-спасательная часть Центрального района
улица Тургенева
Естественно-технологический факультет  корпус 1
Сормовская улица
Бизнес-центр на Металлургов 88
улица Пети Калмыкова
Бассейн «Cтроитель»
Церковь Спасителя Иисуса Христа
Храм Непорочного Зачатия Пресвятой Девы Марии
Центр развития творчества детей
ТК «Гулливер»
Шадринская улица
Терапевтический корпус
Хирургический корпус
1-я Ирбитская улица
улица Бурденюка
улица Бурденюка
Абразивная улица
Шуменская улица
улица Лазо
улица Тухачевского
улица Челябинского Рабочего
переулок Шота Руставели
улица Героя России Молодова
Верстовая улица
улица Гончаренко
улица Баталова
Плодоягодная улица
улица Гюго
улица Многостаночников
улица Ковалевской
Передовой переулок
Валдайская улица
3-й Томский переулок
Ферросплавная улица
улица Попова
Шадринская улица
Родильный дом
Детская улица
улица Дегтярёва
улица Дегтярёва
улица Жукова
шоссе Металлургов
улица Обухова
улица Мира
улица Первого Спутника
улица Первого Спутника
улица Зудова
улица Самохина
улица Зудова
Курганская улица
ГСК-507
Поликлиника  ГКБ №5
Дом быта
Маркштадт
ТК «Маркштадт»
Общежитие Челябинского энергетического колледжа
ТБЦ «Тан»
Уйская улица
Аэропорт 1
Звёздная улица
Чёрная
улица Авиаторов
Новая улица
Дорожная улица
улица Грязева
Рудная улица
улица Морозова
улица Калинина
Школьный переулок
улица 1 Мая
улица Чапаева
Береговая улица
улица Чапаева
Дачный переулок
Западная улица
Озёрный переулок
Летописная улица
Согра
2-я Дальняя улица
Промхолод
Челябинский завод технической оснастки
Фатеевское кладбище
ГСК-316а
Псковская улица
Челябинск-Главный
Автобусная стоянка
ТК «Андреевский»
ТК «Андреевский»
Детский сад №125
Спорткомплекс «Лидер»
Гаражи ПТУ №20
"Главная проходная завода ""Станкомаш"""
Челябинский механический завод
Челябинская ТЭЦ-1
СНТ «Энергосад 1»
СНТ «Кузнец 2»
улица 3 Сентября
Пограничная улица
Пограничная улица
улица Коммунаров
Курганская улица
Калужская улица
Каштакская улица
Августовская улица
Вечерний Челябинск
улица 9 Мая
Школа №75
Конар
Торпедо
2-я Потребительская улица
ЧелСи  Оптово-розничный центр
Строитель
